structId,sortId,name,description,area,category,skill,tier,tierName,completionPercent,skills,wikiNotes
4821,22,Steal a Chocolate Slice,Steal a Chocolate Slice from a Bakery Stall,Global,Skill,,1,Easy,58.5,THIEVING 5,"5 Thieving Fremennik, Kandarin, Kourend, or Varlamore"
1771,23,Rake a Farming Patch,Rake any Farming patch,Global,Skill,,1,Easy,85.9,,Rake
1772,24,Plant Seeds in an Allotment Patch,Plant some seeds in an Allotment patch,Global,Skill,,1,Easy,65.1,,"Seed dibber and one of Asgarnia, Morytania, Kandarin, Kourend, Tirannwn, or Varlamore"
1773,25,Protect Your Crops,Pay a farmer to protect any of your crops,Global,Skill,,1,Easy,65.3,,Items requested by the farmer to protect the crop
4825,26,Chop Some Logs,Chop any kind of logs,Global,Skill,,1,Easy,92,,Any axe
4826,27,Chop Some Logs With a Steel Axe,Chop any kind of logs using a Steel Axe,Global,Skill,,1,Easy,87,WOODCUTTING 6,6 Woodcutting
1782,28,Obtain a Bird Nest,Obtain a Bird Nest whilst cutting down trees,Global,Skill,,1,Easy,81.9,,
4828,29,Cook Shrimp,Cook Raw Shrimp,Global,Skill,,1,Easy,91.3,,
1788,30,Burn Some Food,Burn any kind of food while trying to cook it,Global,Skill,,1,Easy,81.1,,Cooked meat (if the player has Animal Wrangler)
1794,31,Mine some Copper Ore,Mine some Copper Ore,Global,Skill,,1,Easy,88.8,,
1795,32,Mine some Ore With a Steel Pickaxe,Mine any ore using a Steel Pickaxe,Global,Skill,,1,Easy,80,MINING 6,6 Mining
1801,33,Fletch Some Arrow Shafts,Fletch some Arrow Shafts,Global,Skill,,1,Easy,88.9,,
1802,34,Fletch an Oak Shortbow,Fletch an Oak Shortbow,Global,Skill,,1,Easy,70.2,FLETCHING 20; WOODCUTTING 15,20 Fletching  15 Woodcutting if chopping own log
1811,35,Check Your Slayer Task,Use an Enchanted Gem to check your Slayer Task,Global,Combat,,1,Easy,84.5,,1 coin to purchase an enchanted gem
1814,36,Equip a Spiny Helmet,Equip a Spiny Helmet,Global,Combat,,1,Easy,81.9,DEFENCE 5,5 Defence 650 coins to purchase from store
1824,37,Spin a Ball of Wool,Use a Spinning Wheel to spin a Ball of Wool,Global,Skill,,1,Easy,87,,
1825,38,Cut a Sapphire,Cut a Sapphire,Global,Skill,,1,Easy,80.8,CRAFTING 20,20 Crafting
1826,39,Craft a Leather Body,Craft a Leather Body,Global,Skill,,1,Easy,52.2,CRAFTING 40; MAGIC 78; RANGED 40,"14 Crafting Either Asgarnia ( 40 ), Kandarin ( 40 ), Kourend, Desert, or Morytania for easier access. In a worst case scenario, Fremennik with  78  and   Fremennik Hard Diary, or the Grimoire relic to cast Tan Leather"
1833,40,Catch a Shrimp,Catch Raw Shrimp while Fishing,Global,Skill,,1,Easy,91.7,,
1834,41,Catch a Herring,Catch a Raw Herring whilst Fishing,Global,Skill,,1,Easy,81.7,FISHING 10,10 Fishing
1835,42,Catch an Anchovy,Catch a Raw Anchovy whilst Fishing,Global,Skill,,1,Easy,89.2,FISHING 15,15 Fishing
1840,43,Smelt a Bronze Bar,Use a Furnace to smelt a Bronze Bar,Global,Skill,,1,Easy,87.5,,
1841,44,Smelt an Iron Bar,Use a Furnace to smelt an Iron Bar,Global,Skill,,1,Easy,80.6,SMITHING 15,15 Smithing
1849,45,Purchase a Player Owned House,Purchase a Player Owned House,Global,Skill,,1,Easy,83.5,,"1,000 coins or completion of   Daddy's Home"
4829,46,Turn any Logs Into a Plank,Use a Sawmill to turn Logs into a Plank,Global,Skill,,1,Easy,82.9,,Logs and 100 coins (Coins not required if using Waxwood logs during Daddy's Home)
1857,47,Visit the Rune Essence Mine,Visit the Rune Essence Mine,Global,Skill,,1,Easy,86.4,,
1859,48,Locate a Runecrafting Altar With a Talisman,Use any talisman to check the location of a Runecrafting Altar,Global,Skill,,1,Easy,72.6,,
1864,49,Burn Some Normal Logs,Burn some Normal Logs,Global,Skill,,1,Easy,91.3,,
1865,50,Burn Some Oak Logs,Burn some Oak Logs,Global,Skill,,1,Easy,87.3,FIREMAKING 15,15 Firemaking
1866,51,Light a Torch,Light a Torch,Global,Skill,,1,Easy,80.1,,
1872,52,Catch a Baby Impling,Catch a Baby Impling,Global,Skill,,1,Easy,62.8,HUNTER 17,17 Hunter
1873,53,Snare a Bird,Catch any bird with a Bird Snare,Global,Skill,,1,Easy,60.8,,
1884,54,Clean a Grimy Guam,Clean a Grimy Guam,Global,Skill,,1,Easy,84.9,,
1885,55,Make an Attack Potion,Make an Attack Potion,Global,Skill,,1,Easy,64.1,,
1886,56,Drink a Strength Potion,Drink a Strength Potion,Global,Skill,,1,Easy,73.5,,
1894,57,Reach Combat Level 10,Reach Combat Level 10,Global,Combat,All,1,Easy,89.3,,
1895,58,Reach Combat Level 25,Reach Combat Level 25,Global,Combat,All,1,Easy,86.3,,
1902,59,Visit Death's Domain,Visit Death's Domain,Global,Combat,All,1,Easy,88,,
1903,60,Perform a Special Attack,Perform any special attack,Global,Combat,All,1,Easy,87,,
1914,61,Equip a Studded Body and Chaps,Equip a Studded Body along with some Studded Chaps,Global,Combat,Artisan,1,Easy,74.3,DEFENCE 20; RANGED 20,"20 Ranged,  20 Defence"
1923,62,Equip an Elemental Staff,Equip a basic elemental staff,Global,Combat,Support,1,Easy,87.1,,
1924,63,Cast Home Teleport,Cast the Home Teleport spell,Global,Skill,Support,1,Easy,90.8,,
1951,64,Steal From the Varrock Tea Stall,Steal from the Tea Stall in Varrock,Misthalin,Skill,,1,Easy,87.8,THIEVING 5,5 Thieving
4842,65,Complete the Draynor Agility Course,Complete a lap of the Draynor Rooftop Agility Course,Misthalin,Skill,,1,Easy,90.2,,
1960,66,Defeat the Lesser Demon in the Wizards' Tower,Defeat the Lesser Demon at the top of the Wizards' Tower,Misthalin,Combat,All,1,Easy,81.4,,
1988,67,Enter Zanaris,Enter the lost city of Zanaris,Misthalin,Other,All,1,Easy,87.3,,
1990,68,Travel to Fossil Island,Take the Museum Barge to Fossil Island,Misthalin,Other,All,1,Easy,82.7,,
1992,69,Pet a Stray Dog in Varrock,Pet a Stray Dog in Varrock,Misthalin,Other,All,1,Easy,87.7,,
2002,70,Use a Fairy Ring,Use any Fairy Ring,Misthalin,Other,All,1,Easy,87.8,,
2006,71,Complete the Natural History Quiz,Complete the Natural History Quiz in the Varrock Museum,Misthalin,Other,All,1,Easy,84.3,,
2008,72,Cook a Rabbit in Tirannwn,Cook a Rabbit anywhere within Tirannwn,Tirannwn,Skill,,1,Easy,83.1,,
2015,73,Cross a Trap in Isafdar,Successfully cross any kind of trap in Isafdar,Tirannwn,Skill,,1,Easy,81.1,,
2022,74,Defeat a Waterfiend in Tirannwn,Defeat a Waterfiend in Tirannwn,Tirannwn,Combat,All,1,Easy,82.2,,
2026,75,Defeat a Moss Giant in Tirannwn,Defeat a Moss Giant in Tirannwn,Tirannwn,Combat,All,1,Easy,85.5,,
2058,76,Use the Bank in Lletya,Use the Bank in Lletya,Tirannwn,Other,All,1,Easy,87.5,,
2065,77,Charter a Ship From Prifddinas to Port Tyras,Take a Charter Ship from Prifddinas to Port Tyras,Tirannwn,Other,All,1,Easy,79.4,,
2066,78,Talk to Ilfeen in Tirannwn,Talk to Ilfeen in Tirannwn,Tirannwn,Other,All,1,Easy,85.4,,
2067,79,Switch to the Lunar Spellbook,Switch to the Lunar Spellbook,Fremennik Province,Skill,Support,1,Easy,90.3,,
2085,80,Defeat a Rock Crab in the Fremennik Province,Defeat a Rock Crab in the Fremennik Province,Fremennik Province,Combat,All,1,Easy,93.8,,
2090,81,Defeat a Cockatrice in the Fremennik Province,Defeat a Cockatrice in the Fremennik Province,Fremennik Province,Combat,,1,Easy,81.4,SLAYER 25,25 Slayer
2094,82,Defeat a Pyrefiend in the Fremennik Province,Defeat a Pyrefiend in the Fremennik Province,Fremennik Province,Combat,,1,Easy,83.1,SLAYER 30,30 Slayer
2137,83,Use the Bank on Jatizso,Use the Bank on Jatizso,Fremennik Province,Other,All,1,Easy,84.2,,
2139,84,Use the Bank on Neitiznot,Use the Bank on Neitiznot,Fremennik Province,Other,All,1,Easy,90.2,,
2141,85,Use the Bank on Lunar Isle,Use the Bank on Lunar Isle,Fremennik Province,Other,All,1,Easy,89,,
2143,86,Receive an Agility Arena Ticket,Receive an Agility Arena Ticket from the Brimhaven Agility Arena,Karamja,Minigame,,1,Easy,72.9,,
4891,87,Catch a Karambwanji,Catch a Karambwanji on Karamja,Karamja,Skill,,1,Easy,77.4,FISHING 5,5 Fishing
749,88,Enter your Player Owned House,Enter your Player Owned House,Global,Skill,,1,Easy,81,,"1,000 coins or completion of   Daddy's Home"
2183,89,Fill a Crate With Bananas,Fill a crate with Bananas for Luthas at Musa Point,Karamja,Other,All,1,Easy,81.2,,
2187,90,Pick a Pineapple on Karamja,Pick a Pineapple on Karamja,Karamja,Other,All,1,Easy,83.3,,
2194,91,Complete the Gnome Stronghold Agility Course,Complete a lap of the Gnome Stronghold Agility Course,Kandarin,Skill,,1,Easy,89.3,,
2198,92,Catch a Crimson Swift in the Feldip Hills,Catch a Crimson Swift in the Feldip Hills,Kandarin,Skill,,1,Easy,57.1,,
2229,93,Defeat a Bloodveld in Kandarin,Defeat a Bloodveld in Kandarin,Kandarin,Combat,,1,Easy,47.7,SLAYER 50,50 Slayer
751,94,Defeat a Fire Giant in Kandarin,Defeat a Fire Giant in Kandarin,Kandarin,Combat,,1,Easy,66.7,,
2242,95,Visit the Tree Gnome Village,Visit the Tree Gnome Village,Kandarin,Other,All,1,Easy,87.5,,
2245,96,Visit the Tree Gnome Stronghold,Visit the Tree Gnome Stronghold,Kandarin,Other,All,1,Easy,91.8,,
5150,97,Brimstail Rune Essence Mine teleport,Have Brimstail teleport you to the Rune Essence Mine,Kandarin,Other,All,1,Easy,68.7,,
2282,98,Craft an Air Rune,Craft an Air Rune from Essence at the Air Altar,Asgarnia,Skill,,1,Easy,67.1,,
2294,99,Defeat a Troll in Asgarnia,Defeat a Troll in Asgarnia,Asgarnia,Combat,All,1,Easy,74.7,,
5160,100,Enter the Taverley Dungeon,Enter the Taverley Dungeon,Asgarnia,Other,All,1,Easy,92.4,,
5162,101,Room 1 of Pyramid Plunder,Search the Golden Chest in Room 1 of Pyramid Plunder in Sophanem,Kharidian Desert,Minigame,,1,Easy,88.5,THIEVING 21,21 Thieving
5163,102,Room 2 of Pyramid Plunder,Search the Golden Chest in Room 2 of Pyramid Plunder in Sophanem,Kharidian Desert,Minigame,,1,Easy,88,THIEVING 31,31 Thieving
5164,103,Room 3 of Pyramid Plunder,Search the Golden Chest in Room 3 of Pyramid Plunder in Sophanem,Kharidian Desert,Minigame,,1,Easy,87.6,THIEVING 41,41 Thieving
2350,104,Pick a Winter Sq'irk,Pick a Winter Sq'irk in the Sorceress's Garden,Kharidian Desert,Minigame,,1,Easy,40.5,,
2354,105,Turn in a Winter Sq'irkjuice to Osman,Turn in a Winter Sq'irkjuice to Osman in Al Kharid,Kharidian Desert,Minigame,,1,Easy,27.5,,
5177,106,Complete the Al Kharid Agility Course,Complete a lap of the Al Kharid Rooftop Agility Course,Kharidian Desert,Skill,,1,Easy,83.5,AGILITY 20,20 Agility
2362,107,Craft a Fire Rune,Craft a Fire Rune from Essence at the Fire Altar,Kharidian Desert,Skill,,1,Easy,61.7,RUNECRAFT 14,14 Runecraft
2398,108,Use the Bank in Nardah,Use the Bank in Nardah,Kharidian Desert,Other,All,1,Easy,83.7,,
2404,109,Enter the Kalphite Lair,Enter the Kalphite Lair,Kharidian Desert,Other,All,1,Easy,92.1,,Rope
2422,110,Craft a Snelm,Craft any Snelm,Morytania,Skill,,1,Easy,75.2,CRAFTING 15,15 Crafting
5192,111,Defeat a Werewolf in Morytania,Defeat a Werewolf in Morytania,Morytania,Combat,All,1,Easy,87.9,,
2469,112,Complete an Easy Temple Trek,Complete an easy Temple Trek,Morytania,Minigame,All,1,Easy,58.7,,
2472,113,Visit Port Phasmatys,Visit Port Phasmatys,Morytania,Other,All,1,Easy,90.6,,
2480,114,Visit Harmony Island,Visit Harmony Island,Morytania,Other,All,1,Easy,71.6,,
2482,115,Visit Mos Le'Harmless,Visit Mos Le'Harmless,Morytania,Other,All,1,Easy,94.8,,
2504,116,Defeat a Fire Giant in the Wilderness,Defeat a Fire Giant in the Wilderness,Wilderness,Combat,All,1,Easy,86,,
2508,117,Defeat a Chaos Dwarf in the Wilderness,Defeat a Chaos Dwarf in the Wilderness,Wilderness,Combat,All,1,Easy,90.3,,
2546,118,Use a Lever to Teleport to Edgeville,Use the lever near the Mage Arena to teleport to Edgeville,Wilderness,Other,All,1,Easy,87.2,,
2547,119,Open a Looting Bag,Open a Looting Bag,Wilderness,Other,All,1,Easy,97.3,,
2550,120,Enter the Wilderness Resource Area,Enter the Wilderness Resource Area,Wilderness,Other,All,1,Easy,91.8,,
2552,121,Enter the Wilderness God Wars Dungeon,Enter the Wilderness God Wars Dungeon,Wilderness,Other,All,1,Easy,80,,
2553,122,Use the Bank at the Mage Arena,Use the Bank at the Mage Arena,Wilderness,Other,All,1,Easy,92.9,,
2560,123,Take a Carpet Ride from Pollnivneach to Sophanem,Take a carpet ride from Pollnivneach to Sophanem,Kharidian Desert,Other,All,1,Easy,76.4,,
3794,124,Obtain a Casket from Fishing,Obtain a Casket from Fishing,Global,Skill,All,1,Easy,40,FISHING 16,16 Fishing
3795,125,Steal Some Silk,Steal some silk from a silk stall,Global,Skill,,1,Easy,48.3,THIEVING 20,"20 Thieving Kandarin, Kourend, Tirannwn, or Varlamore"
3816,126,1 Tempoross Kill,Help the Spirit Anglers subdue the Tempoross,Kharidian Desert,Skill,,1,Easy,50.9,FISHING 35,35 Fishing
3870,127,Open a Bronze Chest,Open a Bronze Chest from Shades of Mort'ton,Morytania,Minigame,All,1,Easy,23.4,FIREMAKING 5,5 Firemaking Completion of   Shades of Mort'ton
3887,128,Pet the Museum Camp dog,Pet the dog in the Museum Camp on Fossil Island,Misthalin,Other,All,1,Easy,76,,
3896,129,Pick Wheat in Catherby,Pick some wheat in the field by the Catherby Farming patches,Kandarin,Other,All,1,Easy,80.8,,
4907,130,Buy Something From Trader Crewmembers,Buy something from the Trader Crewmembers,Global,Other,All,1,Easy,82.9,,2 coins
3898,131,Get Stung By Bees,Get stung by bees at the Beehives,Kandarin,Other,All,1,Easy,76.1,,
5013,132,Enter Puro Puro from Gielinor,Enter Puro Puro from a crop circle in mainland Gielinor,Global,Other,All,1,Easy,32.6,HUNTER 17,17 Hunter
5014,133,Dye a cape orange,Dye a cape orange,Global,Other,All,1,Easy,60.3,,
5016,134,Kill Salarin the Twisted,Kill Salarin the Twisted in Yanille Agility Dungeon,Kandarin,Combat,All,1,Easy,26.3,AGILITY 67,67 Agility
5021,135,Kill a Necromancer,Kill a Necromancer,Global,Combat,All,1,Easy,17,,"Either Kandarin (Necromancer), or Kourend (Necromancer (Great Kourend)). Alternatively Asgarnia with a Dwarf multicannon and a friend who has Kandarin unlocked (to lure the necromancer to the shore near fairy ring AIR)"
5022,136,Drink a LizardKicker,Drink a LizardKicker,Kourend & Kebos,Other,All,1,Easy,68.3,,
5031,137,Equip a Protest Banner,Equip a Protest Banner,Kourend & Kebos,Other,All,1,Easy,61.5,,
5032,138,Cry in a wheat field,Cry in a wheat field,Global,Other,All,1,Easy,86.7,,
5033,139,Dance in a graveyard,Dance in a graveyard,Global,Other,All,1,Easy,87,,
5034,140,Brutally murder Conrad King,Brutally murder Conrad King,Kourend & Kebos,Combat,All,1,Easy,83.8,,"Automatically completed upon unlock of the Kourend region. If area was opened before the fix, one needs to open the Leagues Areas menu for it to update."
5035,141,Kill a Yak,Kill a Yak,Fremennik Province,Combat,All,1,Easy,87.3,,
5037,142,Chop down an arctic pine tree,Chop down an arctic pine tree,Fremennik Province,Skill,,1,Easy,74.3,WOODCUTTING 54,54 Woodcutting
5040,143,Equip a team cape,Equip a team cape in the Wilderness,Wilderness,Other,All,1,Easy,91.6,,
5045,144,Use Broken Handz's telescope,Use Broken Hand'z telescope to spy on someone,Tirannwn,Other,All,1,Easy,33.9,,
5051,145,Milk a cow,Milk a cow in Lumbridge,Misthalin,Other,All,1,Easy,89.6,,
5053,146,Insult Aggie the Witch,Insult Aggie the Witch in Draynor Village,Misthalin,Other,All,1,Easy,85.5,,
5057,147,Have Ned make you some rope,Have Ned make you some rope using a ball of wool in Draynor Village,Misthalin,Other,All,1,Easy,78.8,,4 balls of wool
5058,148,Kill a port sarim prisoner,Kill a port sarim prisoner,Asgarnia,Combat,All,1,Easy,77,,
5059,149,Get a chair to follow you,Get a chair to follow you,Misthalin,Other,All,1,Easy,83,,
5060,150,Get your revenge against a Dark Wizard,"Get your revenge against a Dark Wizard, south of Varrock",Misthalin,Combat,All,1,Easy,85.3,,
5061,151,Chop a log from a potato tree,Chop a log from a tree that is curiously in a potato field,Misthalin,Skill,,1,Easy,83.4,,.mw-parser-output .mw-kartographer-container:not(.mw-kartographer-full).tleft{margin:0.5em 1.4em 1.3em 0;float:left;clear:left}.mw-parser-output .mw-kartographer-container:not(.mw-kartographer-full).tright{margin:0.5em 0 1.3em 1.4em;float:right;clear:right}.mw-parser-output .thumbinner{font-size:88.4%;padding:3px}.mw-parser-output .thumbcaption{text-align:left;line-height:1.4em;margin:0 -3px -3px -3px}Normal tree or Oak tree
5067,152,Have Elsie tell you a story,Have Elsie tell you a story in Varrock,Misthalin,Other,All,1,Easy,79.5,,A cup of tea
5070,153,Eat a magic cabbage,Eat a magic cabbage,Asgarnia,Other,All,1,Easy,65.6,,
5073,154,Pan for an Uncut Jade,Pan for an Uncut Jade,Misthalin,Other,All,1,Easy,50.8,,
5078,155,Slash a web in varrock sewers,Slash a web in Varrock sewers,Misthalin,Other,All,1,Easy,78.1,,
5082,156,Give Thurgo a redberry pie,Give Thurgo a redberry pie,Asgarnia,Skill,All,1,Easy,57.6,COOKING 10,10 Cooking or Varlamore and partial completion of   Perilous Moons Partial completion of   The Knight's Sword
5096,157,Successfully Cut a Red Topaz,Successfully Cut a Red Topaz,Global,Skill,,1,Easy,57,CRAFTING 16,16 Crafting Chisel
5112,158,Create an Antipoison,Create an Antipoison,Global,Skill,,1,Easy,67.4,HERBLORE 5,5 Herblore
5113,159,Create a Compost Potion,Create a Compost Potion,Global,Skill,,1,Easy,51.6,HERBLORE 22,22 Herblore
5115,160,Catch a wild kebbit,Catch a wild kebbit,Kandarin,Skill,,1,Easy,42.8,HUNTER 23,23 Hunter
5969,161,Mine 5 Tin Ore,Mine 5 Tin Ore,Global,Skill,,1,Easy,87.7,,
5119,162,Smith a Bronze full helm,Use an Anvil to smith a Bronze full helm,Global,Skill,,1,Easy,82.2,SMITHING 7,7 Smithing
5120,163,Smith a Bronze plateskirt,Use an Anvil to smith a Bronze plateskirt,Global,Skill,,1,Easy,78.9,SMITHING 16,16 Smithing
5841,164,Complete the Varrock Agility Course,Complete a lap of the Varrock Rooftop Agility Course,Misthalin,Skill,,1,Easy,82,AGILITY 30,30 Agility
2096,165,Use the Falador Party room,Deposit an item into the Falador Party room chest,Asgarnia,Other,All,1,Easy,79.3,,
2147,166,Use a Hat Stand,"Put a hat on a hat stand, or try at least",Global,Other,All,1,Easy,72.3,,
2149,167,Receive a gift from Arnold,Talk to Arnold Lydspor and receive a gift,Kandarin,Other,All,1,Easy,48.1,,
2152,168,Obtain Jack's legendary rod,Buy Grandpa Jack's competition winning fishing rod,Kandarin,Other,All,1,Easy,46.4,,
2161,169,Set a mummy ablaze,Set a Mummy on Fire with fire damage,Kharidian Desert,Combat,All,1,Easy,30.2,MAGIC 13,13 Magic or Tirannwn for access to oily cloth
2163,170,Upset the homeless,"Anger the Tramp, in south east Varrock",Misthalin,Other,All,1,Easy,79.8,,
2164,171,Catch a Salmon,Catch a Salmon in the Desert,Kharidian Desert,Skill,,1,Easy,25.8,FISHING 30,30 Fishing Partial completion of   Spirits of the Elid
2166,172,Balance 5 barrels on your head,Balance 5 barrels on your head in the Warriors guild,Asgarnia,Other,All,1,Easy,26,ATTACK 99; STRENGTH 99,99 Attack or  99 Strength or a combined Attack and Strength level of 130
2171,173,Kill a Spider by kicking it,Kill a Spider in Lumbridge by kicking it,Misthalin,Combat,All,1,Easy,87.1,,
2174,174,Kill a Cow in one hit,Kill a Cow in one hit,Misthalin,Combat,All,1,Easy,81.3,,Killing a Cow calf in one hit will also complete this task
2177,175,Kill a Rat,Kill a Rat,Misthalin,Combat,All,1,Easy,90.3,,
2185,176,Kill a Mugger,Kill a Mugger,Misthalin,Combat,All,1,Easy,86.3,,
2192,177,Talk to Hans,Talk to Hans and have him tell you how old you are,Misthalin,Other,All,1,Easy,89.3,,
2196,178,Ask for a Quest from Bob,Talk to Bob in Lumbridge axe shop and ask for a Quest,Misthalin,Other,All,1,Easy,86.7,,
2197,179,Kill a Ram,Kill a Ram,Misthalin,Combat,All,1,Easy,87.1,,
2200,180,Kill a Chicken with your fists,Kill a Chicken with your fists,Misthalin,Combat,All,1,Easy,87.4,,
2208,181,Equip an Iron dagger,Equip an Iron dagger,Misthalin,Other,Combat,1,Easy,85.8,,
2210,182,Pray at an Altar in Lumbridge,Pray at an Altar in Lumbridge,Misthalin,Other,,1,Easy,89.6,,
2211,183,Eat an Onion,"Eat an Onion, raw",Misthalin,Other,All,1,Easy,85.3,,
2212,184,Kill a Duck with a fire spell,Kill a Duck with a fire spell,Misthalin,Combat,All,1,Easy,80.9,MAGIC 13,13 Magic
2236,185,Kill an Imp with an earth spell,Kill an Imp with an earth spell,Misthalin,Combat,All,1,Easy,78.7,MAGIC 9,9 Magic
2237,186,Kill a Frog,Kill a Frog,Misthalin,Combat,All,1,Easy,86.1,,
2238,187,Kill a Goblin holding a spear,Kill a Goblin holding a spear,Misthalin,Combat,All,1,Easy,85.1,,
2241,188,Drink some of Ali's tea,Drink a cup of tea in Ali the Tea Seller's house,Kharidian Desert,Other,All,1,Easy,46.3,,
2266,189,Kill a Billy Goat,Kill a Billy Goat,Kharidian Desert,Combat,All,1,Easy,75.9,,
2340,190,Cut the Swaying Tree,Cut the Swaying Tree,Fremennik Province,Skill,,1,Easy,70.6,WOODCUTTING 40,40 Woodcutting
2358,191,Kill a Barbarian in Kourend,Kill a Barbarian in Kourend,Kourend & Kebos,Combat,All,1,Easy,73,,
2407,192,Use the Mine cart transportation System,Use the Mine cart transportation System,Kourend & Kebos,Other,All,1,Easy,85.4,,
2413,193,Eat a Field Ration,Eat a Field Ration,Kourend & Kebos,Other,All,1,Easy,64,,
3790,194,Repair a Fishing Crane,Repair a Fishing Crane,Kourend & Kebos,Skill,,1,Easy,59.3,CONSTRUCTION 30; CRAFTING 30,"30 Construction,  30 Crafting"
3809,195,Charter a Ship From Sunset Coast to Civitas,Take a Charter Ship from Sunset Coast to Civitas illa Fortis,Varlamore,Other,All,1,Easy,81.5,,
3812,196,Travel using the Quetzal Transport System,Travel using the Quetzal Transport System,Varlamore,Other,All,1,Easy,93.1,,
3903,197,Drink from a bird bath,Drink from a bird bath,Varlamore,Other,All,1,Easy,84.9,,
3904,198,Pet Xolo in Civitas,Pet Xolo in Civitas illa Fortis,Varlamore,Other,All,1,Easy,84.4,,
4497,199,Pick some Sweetcorn from a Field,Pick some Sweetcorn from a Field,Varlamore,Other,All,1,Easy,86.4,,
5714,200,Kill a Guard in Varlamore underground,Kill a Guard in Varlamore underground,Varlamore,Combat,All,1,Easy,77.6,,
5905,201,Kill a Buffalo,Kill a Buffalo,Varlamore,Combat,All,1,Easy,88.7,,
5906,202,Milk a Buffalo,Milk a Buffalo,Varlamore,Other,All,1,Easy,85.9,,
5907,203,Kill an Icefiend in Varlamore,Kill an Icefiend in Varlamore,Varlamore,Combat,All,1,Easy,74.5,,
1191,204,Give Oli some Stew,Give Oli some Stew in Civitas illa Fortis,Varlamore,Other,All,1,Easy,59.3,,
1192,205,Pet Renu,Pet Renu,Varlamore,Other,All,1,Easy,90.3,,
1208,206,Pick a Cabbage in Varrock,Pick a Cabbage in Varrock,Misthalin,Other,All,1,Easy,83.5,,
1211,207,Use the Northern Staircase in Lumbridge,Use the Northern Staircase in Lumbridge Castle to go upstairs from the bottom floor,Misthalin,Other,All,1,Easy,88.4,,
1212,208,Stroke your cat,Get a cat and stroke it!,Misthalin,Other,All,1,Easy,78.6,,
1213,209,Get a haircut,Go and get a haircut,Misthalin,Other,All,1,Easy,81.9,,
1214,210,Shear an Alpaca,Shear an Alpaca,Varlamore,Other,All,1,Easy,78.9,,
1217,211,Drink a beer in the Longhall,Drink a beer in the Longhall in Barbarian Village,Misthalin,Other,All,1,Easy,85.7,,
1218,212,Kill a Barbarian in the Barbarian Village,Kill a Barbarian in Barbarian Village,Misthalin,Combat,All,1,Easy,85.6,,
1220,213,Scatter some Ashes,Scatter some Ashes,Global,Other,All,1,Easy,84.8,,
1221,214,Clean 25 Grimy Guam Leafs,Clean 25 Grimy Guam Leafs,Global,Skill,,1,Easy,78.5,,
