structId,sortId,name,description,area,category,skill,tier,tierName,completionPercent,skillRequirements,wikiNotes,classification
1771,27,Rake a Farming Patch,Rake any Farming patch,Global,Skill,Farming,1,Easy,67.3,PRAYER 52,,
1772,28,Plant Seeds in an Allotment Patch,Plant some seeds in an Allotment patch,Global,Skill,Farming,1,Easy,84.9,THIEVING 38,,
1773,29,Protect Your Crops,Pay a farmer to protect any of your crops,Global,Skill,Farming,1,Easy,88.1,WOODCUTTING 60,75%  Hosidius favour,
4825,30,Chop Some Logs,Chop any kind of logs,Global,Skill,Woodcutting,1,Easy,,,,
4826,31,Chop Some Logs With a Steel Axe,Chop any kind of logs using a Steel Axe,Global,Skill,Woodcutting,1,Easy,,,,
1782,32,Obtain a Bird Nest,Obtain a Bird Nest whilst cutting down trees,Global,Skill,Woodcutting,1,Easy,,,,
4828,33,Cook Shrimp,Cook Raw Shrimp,Global,Skill,Cooking,1,Easy,,,,
1788,34,Burn Some Food,Burn any kind of food while trying to cook it,Global,Skill,Cooking,1,Easy,,,,
1789,35,Successfully Cook 5 Pieces of Food,Cook 5 pieces of food in a row without burning them,Global,Skill,Cooking,1,Easy,,,,
1794,36,Mine some Copper Ore,Mine some Copper Ore,Global,Skill,Mining,1,Easy,,,,
1795,37,Mine some Ore With a Steel Pickaxe,Mine any ore using a Steel Pickaxe,Global,Skill,Mining,1,Easy,,,,
1796,38,Obtain a Gem While Mining,Obtain any kind of gem whilst mining a rock,Global,Skill,Mining,1,Easy,,,,
1801,39,Fletch Some Arrow Shafts,Fletch some Arrow Shafts,Global,Skill,Fletching,1,Easy,,,,
1802,40,Fletch an Oak Shortbow,Fletch an Oak Shortbow,Global,Skill,Fletching,1,Easy,,,,
1803,41,Fletch 150 Iron Arrows,Fletch 150 Iron Arrows,Global,Skill,Fletching,1,Easy,,,,
1809,42,Receive a Slayer Task,Receive a Slayer Task from any Slayer Master,Global,Combat,Slayer,1,Easy,4,SLAYER 5,Unlocked Bigger and Badder for 150 Slayer reward points,
1811,43,Check Your Slayer Task,Use an Enchanted Gem to check your Slayer Task,Global,Combat,Slayer,1,Easy,,,,
1814,44,Equip a Spiny Helmet,Equip a Spiny Helmet,Global,Combat,Slayer,1,Easy,,,,
1824,45,Spin a Ball of Wool,Use a Spinning Wheel to spin a Ball of Wool,Global,Skill,Crafting,1,Easy,1.7,,,
1825,46,Cut a Sapphire,Cut a Sapphire,Global,Skill,Crafting,1,Easy,,,,
1826,47,Craft a Leather Body,Craft a Leather Body,Global,Skill,Crafting,1,Easy,,,,
1833,48,Catch a Shrimp,Catch Raw Shrimp while Fishing,Global,Skill,Fishing,1,Easy,14.2,,,
1834,49,Catch a Herring,Catch a Raw Herring whilst Fishing,Global,Skill,Fishing,1,Easy,4.4,,,
1835,50,Catch an Anchovy,Catch a Raw Anchovy whilst Fishing,Global,Skill,Fishing,1,Easy,,,,
1840,51,Smelt a Bronze Bar,Use a Furnace to smelt a Bronze Bar,Global,Skill,Smithing,1,Easy,,,,
1841,52,Smelt an Iron Bar,Use a Furnace to smelt an Iron Bar,Global,Skill,Smithing,1,Easy,24.6,SLAYER 95,,
1842,53,Smith 150 Iron Arrowtips,Use an Anvil to smith 150 Iron Arrowtips,Global,Skill,Smithing,1,Easy,9.1,SLAYER 95,,
1849,54,Purchase a Player Owned House,Purchase a Player Owned House,Global,Skill,Construction,1,Easy,,,,
1850,55,Build a Room in Your Player Owned House,Build a room in your Player Owned House,Global,Skill,Construction,1,Easy,,,,
4829,56,Turn any Logs Into a Plank,Use a Sawmill to turn Logs into a Plank,Global,Skill,Construction,1,Easy,,,,
1857,57,Visit the Rune Essence Mine,Visit the Rune Essence Mine,Global,Skill,Runecraft,1,Easy,,,,
1858,58,Craft Any Rune,Use a Runecrafting Altar to craft any type of rune from Essence,Global,Skill,Runecraft,1,Easy,,,,
1859,59,Locate a Runecrafting Altar With a Talisman,Use any talisman to check the location of a Runecrafting Altar,Global,Skill,Runecraft,1,Easy,,,,
1864,60,Burn Some Normal Logs,Burn some Normal Logs,Global,Skill,Firemaking,1,Easy,,,,
1865,61,Burn Some Oak Logs,Burn some Oak Logs,Global,Skill,Firemaking,1,Easy,,,,
1866,62,Light a Torch,Light a Torch,Global,Skill,Firemaking,1,Easy,,,,
1872,63,Catch a Baby Impling,Catch a Baby Impling,Global,Skill,Hunter,1,Easy,,,,
1873,64,Snare a Bird,Catch any bird with a Bird Snare,Global,Skill,Hunter,1,Easy,,,,
1879,65,Obtain a Mark of Grace,Obtain a Mark of Grace from any Rooftop Agility Course,Global,Skill,Agility,1,Easy,28.8,ATTACK 30; MAGIC 30; SLAYER 5,", , Unlocked Bigger and Badder for 150 Slayer reward points",
1881,66,Complete a Rooftop Agility Course,Complete a lap of any Rooftop Agility Course,Global,Skill,Agility,1,Easy,16.1,SLAYER 5,Unlocked Bigger and Badder for 150 Slayer reward points,
1884,67,Clean a Grimy Guam,Clean a Grimy Guam,Global,Skill,Herblore,1,Easy,13.3,SLAYER 95,,
1885,68,Make an Attack Potion,Make an Attack Potion,Global,Skill,Herblore,1,Easy,5.3,RANGED 85,,
1886,69,Drink a Strength Potion,Drink a Strength Potion,Global,Skill,Herblore,1,Easy,5,ATTACK 75; STRENGTH 75,",",
1894,70,Reach Combat Level 10,Reach Combat Level 10,Global,Combat,,1,Easy,,,,
1895,71,Reach Combat Level 25,Reach Combat Level 25,Global,Combat,,1,Easy,,,,
1902,72,Visit Death's Domain,Visit Death's Domain,Global,Combat,,1,Easy,,,,
1905,73,Equip a Mithril Weapon,Equip any Mithril weapon,Global,Combat,Attack,1,Easy,24.2,,See  Kourend & Kebos Diary#Hard,
1910,74,Equip a Full Mithril Set,"Equip a Mithril Platebody, a Mithril Full Helm and either some Mithril Platelegs or a Mithril Plateskirt",Global,Combat,Defence,1,Easy,,,,
1914,75,Equip a Studded Body and Chaps,Equip a Studded Body along with some Studded Chaps,Global,Combat,Ranged,1,Easy,32.7,THIEVING 49,75%  Piscarilius favour,
1919,76,Equip a Maple Shortbow,Equip a Maple Shortbow,Global,Combat,Ranged,1,Easy,,,,
1923,77,Equip an Elemental Staff,Equip a basic elemental staff,Global,Combat,Magic,1,Easy,50.5,,,
1924,78,Cast Home Teleport,Cast the Home Teleport spell,Global,Skill,Magic,1,Easy,,,,
1944,79,Use the Range in Lumbridge Castle,Use the Range in Lumbridge Castle to cook some food,Misthalin,Skill,Cooking,1,Easy,24.6,,,
1948,80,Pickpocket a HAM Member,Pickpocket any HAM member at their hideout,Misthalin,Skill,Thieving,1,Easy,,,,
1951,81,Steal From the Varrock Tea Stall,Steal from the Tea Stall in Varrock,Misthalin,Skill,Thieving,1,Easy,7.7,,,
4842,82,Complete the Draynor Agility Course,Complete a lap of the Draynor Rooftop Agility Course,Misthalin,Skill,Agility,1,Easy,0.3,,,
1956,83,Craft 50 Water Runes,Craft 50 Water Runes from Essence at the Water Altar,Misthalin,Skill,Runecraft,1,Easy,,,,
1960,84,Defeat the Lesser Demon in the Wizards' Tower,Defeat the Lesser Demon at the top of the Wizards' Tower,Misthalin,Combat,,1,Easy,0.1,,,
1969,85,Receive a Slayer Task From Vannaka,Receive a Slayer Task from Vannaka in Edgeville Dungeon,Misthalin,Combat,Slayer,1,Easy,,,,
1982,86,Complete the Easy Lumbridge & Draynor Diary,Complete all of the easy tasks in the Lumbridge & Draynor Achievement Diary,Misthalin,Achievement,,1,Easy,,,,
1986,87,Complete Rune Mysteries,Complete the Rune Mysteries quest,Misthalin,Quest,,1,Easy,,,,
1988,88,Enter Zanaris,Enter the lost city of Zanaris,Misthalin,Other,,1,Easy,75,,,
1990,89,Travel to Fossil Island,Take the Museum Barge to Fossil Island,Misthalin,Other,,1,Easy,98,,,
1992,90,Pet a Stray Dog in Varrock,Pet a Stray Dog in Varrock,Misthalin,Other,,1,Easy,96.4,SKILLS 5,Any skill,
1994,91,Complete Sheep Shearer,Complete the Sheep Shearer quest,Misthalin,Quest,,1,Easy,95.3,SKILLS 20,Any skill,
1995,92,Drink From the Tears of Guthix,Drink from the Tears of Guthix in the Lumbridge Swamp Caves,Misthalin,Other,,1,Easy,94,SKILLS 30,Any skill,
1996,93,Equip Some Fancy Boots or Fighting Boots,Equip either a pair of Fancy Boots or a pair of Fighting Boots,Misthalin,Other,,1,Easy,92.5,SKILLS 40,Any skill,
1997,94,Complete Vampyre Slayer,Complete the Vampyre Slayer quest,Misthalin,Quest,,1,Easy,91,SKILLS 50,Any skill,
1998,95,Complete Romeo & Juliet,Complete the Romeo & Juliet Quest,Misthalin,Quest,,1,Easy,88.9,SKILLS 60,Any skill,
1999,96,Fully Unlock the Mycelium Transportation System,Unlock every destination for the Mycelium Transportation System on Fossil Island,Misthalin,Other,,1,Easy,86.1,SKILLS 70,Any skill,
2000,97,Complete Gertrude's Cat,Complete the Gertrude's Cat quest,Misthalin,Quest,,1,Easy,82.4,SKILLS 80,Any skill,
2001,98,Build a Bank on Fossil Island,Build a Bank at the Museum Camp on Fossil Island,Misthalin,Other,,1,Easy,77.4,SKILLS 90,Any skill,
2002,99,Use a Fairy Ring,Use any Fairy Ring,Misthalin,Other,,1,Easy,73.7,SKILLS 95,Any skill,
4850,100,Complete The Restless Ghost,Complete The Restless Ghost quest,Misthalin,Quest,,1,Easy,90.5,TOTAL LEVEL 250,Total level,
2006,101,Complete the Natural History Quiz,Complete the Natural History Quiz in the Varrock Museum,Misthalin,Other,,1,Easy,81.6,TOTAL LEVEL 750,Total level,
2007,102,Enter Draynor Manor,Enter Draynor Manor through the front door,Misthalin,Other,,1,Easy,76.3,TOTAL LEVEL 1000,Total level,
2008,103,Cook a Rabbit in Tirannwn,Cook a Rabbit anywhere within Tirannwn,Tirannwn,Skill,Cooking,1,Easy,70.1,TOTAL LEVEL 1250,Total level,
2010,104,Harvest Some Sweetcorn in Prifddinas,Harvest some Sweetcorn from the Prifddinas Allotment patch,Tirannwn,Skill,Farming,1,Easy,51,TOTAL LEVEL 1750,Total level,
2015,105,Cross a Trap in Isafdar,Successfully cross any kind of trap in Isafdar,Tirannwn,Skill,Agility,1,Easy,72.7,SKILLS 5,Every skill,
2022,106,Defeat a Waterfiend in Tirannwn,Defeat a Waterfiend in Tirannwn,Tirannwn,Combat,,1,Easy,23,SKILLS 70,Every skill,
2026,107,Defeat a Moss Giant in Tirannwn,Defeat a Moss Giant in Tirannwn,Tirannwn,Combat,,1,Easy,33.9,ATTACK 99,,
2058,108,Use the Bank in Lletya,Use the Bank in Lletya,Tirannwn,Other,,1,Easy,26.1,CRAFTING 99,,
2063,109,Find Every Memoriam Crystal,Find every Memoriam Crystal in Prifddinas and add them to the Memoriam Device,Tirannwn,Other,,1,Easy,3.8,SLAYER 99,,
2065,110,Charter a Ship From Prifddinas to Port Tyras,Take a Charter Ship from Prifddinas to Port Tyras,Tirannwn,Other,,1,Easy,0.4,HUNTER 99,,
2066,111,Talk to Ilfeen in Tirannwn,Talk to Ilfeen in Tirannwn,Tirannwn,Other,,1,Easy,8.6,MINING 99,,
2067,112,Switch to the Lunar Spellbook,Switch to the Lunar Spellbook,Fremennik Province,Skill,Magic,1,Easy,0.5,MINING 99,,
2085,113,Defeat a Rock Crab in the Fremennik Province,Defeat a Rock Crab in the Fremennik Province,Fremennik Province,Combat,,1,Easy,81.1,THIEVING 40,"(can be completed at lower levels depending on luck when pickpocketing NPCs with variable coin amounts, or with the Trickster relic)",
2090,114,Defeat a Cockatrice in the Fremennik Province,Defeat a Cockatrice in the Fremennik Province,Fremennik Province,Combat,Slayer,1,Easy,54.7,,"Items requested by the farmer to protect the crop.  If you have the Farmer's Fortune relic, you can simply select 'pay' option to complete the task.",
2094,115,Defeat a Pyrefiend in the Fremennik Province,Defeat a Pyrefiend in the Fremennik Province,Fremennik Province,Combat,Slayer,1,Easy,41.1,FARMING 68,,
2099,116,Defeat a Troll in the Fremennik Province,Defeat a Troll in the Fremennik Province,Fremennik Province,Combat,,1,Easy,13.7,FARMING 91,Kandarin✓ or Fairy's Flight for completion of  Tree Gnome Village,
2128,117,Complete the Easy Fremennik Diary,Complete all of the easy tasks in the Fremennik Achievement Diary,Fremennik Province,Achievement,,1,Easy,52.6,FLETCHING 69,,
2132,118,Deposit an Item Using Peer the Seer,Deposit an item into your Bank using Peer the Seer,Fremennik Province,Other,,1,Easy,,,,
2137,119,Use the Bank on Jatizso,Use the Bank on Jatizso,Fremennik Province,Other,,1,Easy,14.1,,,
2139,120,Use the Bank on Neitiznot,Use the Bank on Neitiznot,Fremennik Province,Other,,1,Easy,47.2,SLAYER 5,Unlocked Bigger and Badder for 150 Slayer reward points,
2141,121,Use the Bank on Lunar Isle,Use the Bank on Lunar Isle,Fremennik Province,Other,,1,Easy,42.5,SLAYER 85,,
2143,122,Receive an Agility Arena Ticket,Receive an Agility Arena Ticket from the Brimhaven Agility Arena,Karamja,Minigame,Agility,1,Easy,14.6,SLAYER 5,Unlocked Bigger and Badder for 150 Slayer reward points,
4891,123,Catch a Karambwanji,Catch a Karambwanji on Karamja,Karamja,Skill,Fishing,1,Easy,62.6,CRAFTING 50,,
749,124,Enter your Player Owned House,Enter your Player Owned House,Global,Skill,Construction,1,Easy,79.9,FISHING 10,,
2155,125,Defeat a TzHaar,Defeat any TzHaar in Mor Ul Rek,Karamja,Combat,,1,Easy,86.4,FISHING 15,,
2160,126,Receive a Slayer Task From Duradel,Receive a Slayer Task From Duradel in Shilo Village,Karamja,Combat,Slayer,1,Easy,88.2,,,
2165,127,Defeat a Greater Demon on Karamja,Defeat a Greater Demon on Karamja,Karamja,Combat,,1,Easy,48.3,SMITHING 54,,
2179,128,Complete the Easy Karamja Diary,Complete all of the easy tasks in the Karamja Achievement Diary,Karamja,Achievement,,1,Easy,16.4,CONSTRUCTION 80,,
2183,129,Fill a Crate With Bananas,Fill a crate with Bananas for Luthas at Musa Point,Karamja,Other,,1,Easy,62.3,,,
2187,130,Pick a Pineapple on Karamja,Pick a Pineapple on Karamja,Karamja,Other,,1,Easy,93.5,,,
2191,131,Enter the Brimhaven Dungeon,Enter the Brimhaven Dungeon,Karamja,Other,,1,Easy,64.6,SLAYER 33,,
2194,132,Complete the Gnome Stronghold Agility Course,Complete a lap of the Gnome Stronghold Agility Course,Kandarin,Skill,Agility,1,Easy,42.5,FIREMAKING 75,,
2198,133,Catch a Crimson Swift in the Feldip Hills,Catch a Crimson Swift in the Feldip Hills,Kandarin,Skill,Hunter,1,Easy,48.9,HUNTER 67,"Either  ( Morytania✓),  ( Desert✓),  ( Kandarin✓, or  ( Wilderness✓)",
2206,134,Complete a Fishing Trawler Game,Complete a Fishing Trawler game at Port Khazard,Kandarin,Minigame,Fishing,1,Easy,4,,Laps of all rooftops courses combined are counted towards completion of this task.,
5144,135,Receive a Slayer Task From Nieve/Steve,Receive a Slayer Task from Nieve/Steve in the Tree Gnome Stronghold,Kandarin,Combat,Slayer,1,Easy,30.8,CONSTRUCTION 44; CRAFTING 34; MAGIC 27; MINING 40,",  to create the amulet. Amulet mould to craft a Jade amulet (u) (requires either , a 1/128 drop, , or a Trailblazer area unlock).",
2216,136,Defeat a Tortoise With Riders in Kandarin,Defeat a Tortoise with riders in Kandarin,Kandarin,Combat,,1,Easy,18.6,,,
2242,137,Visit the Tree Gnome Village,Visit the Tree Gnome Village,Kandarin,Other,,1,Easy,72.9,RANGED 30,,
2245,138,Visit the Tree Gnome Stronghold,Visit the Tree Gnome Stronghold,Kandarin,Other,,1,Easy,56,RANGED 61,,
2249,139,Complete Monk's Friend,Complete the Monk's Friend quest,Kandarin,Quest,,1,Easy,64.4,ATTACK 30; MAGIC 30,",",
2251,140,Complete Tower of Life,Complete the Tower of Life quest,Kandarin,Quest,,1,Easy,76,MAGIC 55,,
2253,141,Complete Sea Slug,Complete the Sea Slug quest,Kandarin,Quest,,1,Easy,70.4,MAGIC 62,,
5150,142,Brimstail Rune Essence Mine teleport,Have Brimstail teleport you to the Rune Essence Mine,Kandarin,Other,,1,Easy,43.7,CRAFTING 5; HUNTER 5,",",
2257,143,Equip a Marksman Chompy Hat,Equip a Marksman Chompy Hat,Kandarin,Combat,,1,Easy,44.6,CRAFTING 60; HUNTER 59,",",
2262,144,Equip a Monkey Backpack,Equip a Monkey Backpack,Kandarin,Skill,,1,Easy,35.5,HUNTER 17,,
2267,145,Complete the Easy Kandarin Diary,Complete all of the easy tasks in the Kandarin Achievement Diary,Kandarin,Achievement,,1,Easy,90.4,,Completion of  Cook's Assistant,
2271,146,Complete the Easy Western Provinces Diary,Complete all of the easy tasks in the Western Provinces Achievement Diary,Global,Achievement,,1,Easy,90.8,THIEVING 15,,
2282,147,Craft an Air Rune,Craft an Air Rune from Essence at the Air Altar,Asgarnia,Skill,Runecraft,1,Easy,26.5,WOODCUTTING 65,,
2288,148,Move Your House to Taverley,Move your Player Owned House to Taverley,Asgarnia,Skill,Construction,1,Easy,54.5,SLAYER 35,,
5154,149,Receive a Slayer Task From Turael or Spria,Receive a Slayer Task from Turael in Burthorpe or Spria in Draynor,Asgarnia,Combat,Slayer,1,Easy,51.7,,,
2294,150,Defeat a Troll in Asgarnia,Defeat a Troll in Asgarnia,Asgarnia,Combat,,1,Easy,9.6,ATTACK 30; CRAFTING 62; MAGIC 30,", ,",
2311,151,Defeat a Blue Dragon in Asgarnia,Defeat a Blue Dragon in Asgarnia,Asgarnia,Combat,,1,Easy,89.9,,,
2313,152,Defeat a Black Demon in Asgarnia,Defeat a Black Demon in Asgarnia,Asgarnia,Combat,,1,Easy,85.2,,,
2323,153,Complete the Easy Falador Diary,Complete all of the easy tasks in the Falador Achievement Diary,Asgarnia,Achievement,,1,Easy,77.9,,,
5159,154,Unlock a Gate in Taverley Dungeon,Unlock a gate in Taverley Dungeon using the Dusty Key,Asgarnia,Combat,,1,Easy,85.7,,,
5160,155,Enter the Taverley Dungeon,Enter the Taverley Dungeon,Asgarnia,Other,,1,Easy,80.8,,,
2335,156,Complete a Game of Novice Pest Control,Complete a game of Novice Pest Control or higher,Asgarnia,Minigame,,1,Easy,29.8,FARMING 74,,
5162,157,Room 1 of Pyramid Plunder,Search the Golden Chest in Room 1 of Pyramid Plunder in Sophanem,Kharidian Desert,Minigame,Thieving,1,Easy,71.6,AGILITY 75,,
5163,158,Room 2 of Pyramid Plunder,Search the Golden Chest in Room 2 of Pyramid Plunder in Sophanem,Kharidian Desert,Minigame,Thieving,1,Easy,61.9,AGILITY 75,May be completed without time limitations by logging out on the course and then finishing the lap,
2350,159,Pick a Winter Sq'irk,Pick a Winter Sq'irk in the Sorceress's Garden,Kharidian Desert,Minigame,Thieving,1,Easy,78,SLAYER 50,,
2354,160,Turn in a Winter Sq'irkjuice to Osman,Turn in a Winter Sq'irkjuice to Osman in Al Kharid,Kharidian Desert,Minigame,Thieving,1,Easy,58.5,SLAYER 70,,
5177,161,Complete the Al Kharid Agility Course,Complete a lap of the Al Kharid Rooftop Agility Course,Kharidian Desert,Skill,Agility,1,Easy,36.1,FLETCHING 53,,
2362,162,Craft a Fire Rune,Craft a Fire Rune from Essence at the Fire Altar,Kharidian Desert,Skill,Runecraft,1,Easy,10.4,CRAFTING 59; SLAYER 87,",  Kandarin✓",
2369,163,Defeat an Al Kharid Warrior,Defeat an Al Kharid Warrior,Kharidian Desert,Combat,,1,Easy,,,,
2386,164,Complete the Easy Desert Diary,Complete all of the easy tasks in the Desert Achievement Diary,Kharidian Desert,Achievement,,1,Easy,40.4,,,
2390,165,Go Through the Al Kharid Gate,Go through the Al Kharid gate,Kharidian Desert,Other,,1,Easy,81.5,,,
2394,166,Tan a Cow Hide in the Kharidian Desert,Tan a Cow Hide in the Kharidian Desert,Kharidian Desert,Other,,1,Easy,50.7,MAGIC 96,,
2398,167,Use the Bank in Nardah,Use the Bank in Nardah,Kharidian Desert,Other,,1,Easy,47.3,CONSTRUCTION 99,,
2402,168,Cut a Cactus in the Kharidian Desert,Cut a Cactus in the Kharidian Desert,Kharidian Desert,Other,,1,Easy,54.5,FARMING 62,,
2404,169,Enter the Kalphite Lair,Enter the Kalphite Lair,Kharidian Desert,Other,,1,Easy,52.1,HUNTER 55,,
2406,170,Complete The Golem,Complete The Golem quest,Kharidian Desert,Quest,,1,Easy,24.1,MINING 72,,
2422,171,Craft a Snelm,Craft any Snelm,Morytania,Skill,Crafting,1,Easy,,,,
2425,172,Receive a Slayer Task From Mazchna,Receive a Slayer Task from Mazchna in Canifis,Morytania,Combat,Slayer,1,Easy,53.7,,,
5192,173,Defeat a Werewolf in Morytania,Defeat a Werewolf in Morytania,Morytania,Combat,,1,Easy,24.6,DEFENCE 70,Completion of  The Fremennik Exiles,
2433,174,Defeat One of Fenkenstrain's Experiments,Defeat one of Fenkenstrain's Experiments in the Experiment Cave,Morytania,Combat,,1,Easy,39.4,,,
2437,175,Defeat a Ghast,Defeat a Ghast in Mort Myre,Morytania,Combat,,1,Easy,32.2,,,
2465,176,Complete the Easy Morytania Diary,Complete all of the easy tasks in the Morytania Achievement Diary,Morytania,Achievement,,1,Easy,86.3,,,
2469,177,Complete an Easy Temple Trek,Complete an easy Temple Trek,Morytania,Minigame,,1,Easy,91,,,
2472,178,Visit Port Phasmatys,Visit Port Phasmatys,Morytania,Other,,1,Easy,31.9,,,
2476,179,Pet Frank,Pet Darkmeyer's goodest boy,Morytania,Other,,1,Easy,29.9,THIEVING 90,Access to the inner city of Mor Ul Rek by showing a Fire Cape to a guard.,
2480,180,Visit Harmony Island,Visit Harmony Island,Morytania,Other,,1,Easy,34.8,FISHING 65,Completion of  Tai Bwo Wannai Trio,
2482,181,Visit Mos Le'Harmless,Visit Mos Le'Harmless,Morytania,Other,,1,Easy,49.8,RUNECRAFT 44,,
5201,182,Sacrifice Some Bones at the Chaos Temple,Sacrifice some Bones at the Western Chaos Temple altar,Wilderness,Skill,Prayer,1,Easy,83,,"Purchase a player-owned home previously for 1,000 or completed the miniquest  Daddy's Home",
2496,183,Use the Abyss,Use the Abyss to access a Runecrafting Altar,Wilderness,Skill,Runecraft,1,Easy,22,DEFENCE 60,,
2500,184,Defeat a Lava Dragon in the Wilderness,Defeat a Lava Dragon in the Wilderness,Wilderness,Combat,,1,Easy,54.1,ATTACK 60,,
2504,185,Defeat a Fire Giant in the Wilderness,Defeat a Fire Giant in the Wilderness,Wilderness,Combat,,1,Easy,0.5,,,
2508,186,Defeat a Chaos Dwarf in the Wilderness,Defeat a Chaos Dwarf in the Wilderness,Wilderness,Combat,,1,Easy,53.2,,See  Karamja Diary#Easy,
2512,187,Defeat a Green Dragon in the Wilderness,Defeat a Green Dragon in the Wilderness,Wilderness,Combat,,1,Easy,78.8,,,
2531,188,Order a Drink at The Old Nite,Order a drink at The Old Nite,Wilderness,Other,,1,Easy,50,HUNTER 59,,
2541,189,Complete the Easy Wilderness Diary,Complete all of the easy tasks in the Wilderness Achievement Diary,Wilderness,Achievement,,1,Easy,30.5,FARMING 81,,
2546,190,Use a Lever to Teleport to Edgeville,Use the lever near the Mage Arena to teleport to Edgeville,Wilderness,Other,,1,Easy,68.8,,,
2548,191,Pray at the Southern Chaos Temple,Pray at the altar in the Southern Chaos Temple,Wilderness,Other,,1,Easy,35.8,CRAFTING 89,,
2549,192,Pray at the Western Chaos Temple,Pray at the altar in the Western Chaos Temple,Wilderness,Other,,1,Easy,9,,Asgarnia✓ for completion of  Dwarf Cannon,
2550,193,Enter the Wilderness Resource Area,Enter the Wilderness Resource Area,Wilderness,Other,,1,Easy,3.7,FLETCHING 72; RANGED 75,",",
2552,194,Enter the Wilderness God Wars Dungeon,Enter the Wilderness God Wars Dungeon,Wilderness,Other,,1,Easy,80.5,RANGED 40,,
2553,195,Use the Bank at the Mage Arena,Use the Bank at the Mage Arena,Wilderness,Other,,1,Easy,10.6,DEFENCE 40,,
2560,196,Take a Carpet Ride from Pollnivneach to Sophanem,Take a carpet ride from Pollnivneach to Sophanem,Kharidian Desert,Other,,1,Easy,48.4,MAGIC 75; SLAYER 87,",",
2562,197,Complete the Easy Varrock Diary,Complete all of the easy tasks in the Varrock Achievement Diary,Misthalin,Achievement,,1,Easy,74,,,
2568,198,Complete the Easy Ardougne Diary,Complete all of the easy tasks in the Ardougne Achievement Diary,Kandarin,Achievement,,1,Easy,15.9,SLAYER 87,,
5841,199,Complete the Varrock Agility Course,Complete a lap of the Varrock Rooftop Agility Course,Misthalin,Skill,Agility,1,Easy,55.6,AGILITY 70; HITPOINTS 70; RANGED 70; STRENGTH 70,", , ,; Desert✓ for  Desert Treasure II completion",
2584,200,Equip a Trimmed Amulet,Equip a Trimmed Amulet,Global,Minigame,,2,Medium,46.7,,,
